Datum,PV(kWh),sin_month_x,cos_month_x,sin_dayofyear_x,cos_dayofyear_x,year_x,datetime,humidity,dew,windspeed,precip,solarradiation,tempmin,precipcover,uvindex,temp,tempmax,pressure,windgust,winddir,feelslikemin,snowdepth,cloudcover,feelslike,snow,solarenergy,feelslikemax,preciptype,visibility,sin_month_y,cos_month_y,sin_dayofyear_y,cos_dayofyear_y,year_y,sunset_seconds,sunrise_seconds,sunset_sin,sunset_cos,sunrise_sin,sunrise_cos,day_length_seconds,day_length_hours
2025-07-24,18.6,-0.4999999999999997,-0.8660254037844388,-0.37770796520396466,-0.9259247771938499,2025,2025-07-24,76.6,14.3,12.2,4.283,115.4,15.1,50.0,7.0,18.6,21.8,1012.1,28.8,318.9,15.1,0.0,77.4,18.6,0.0,9.9,21.8,['rain'],35.4,-0.4999999999999997,-0.8660254037844388,-0.37770796520396466,-0.9259247771938499,2025,74384,18535,-0.7667918417389854,0.6418958415837688,0.9752620081821834,0.2210520648997761,55849,15.51361111111111
2025-07-25,32.7,-0.4999999999999997,-0.8660254037844388,-0.39359027665646645,-0.9192859697186105,2025,2025-07-25,79.4,15.2,9.0,2.83,238.3,15.7,8.33,8.0,19.1,22.8,1013.5,22.7,9.4,15.7,0.0,85.0,19.1,0.0,20.6,22.8,['rain'],26.9,-0.4999999999999997,-0.8660254037844388,-0.39359027665646645,-0.9192859697186105,2025,74307,18611,-0.7703741600981329,0.6375920744904977,0.9764688339934652,0.21565856402990966,55696,15.471111111111112
2025-07-26,12.5,-0.4999999999999997,-0.8660254037844388,-0.4093559588156211,-0.9123747579707274,2025,2025-07-26,85.4,15.9,16.2,2.272,96.5,17.0,41.67,6.0,18.5,20.0,1012.2,46.8,34.0,17.0,0.0,93.6,18.5,0.0,8.2,20.0,['rain'],19.1,-0.4999999999999997,-0.8660254037844388,-0.4093559588156211,-0.9123747579707274,2025,74229,18689,-0.7739783735799598,0.6332120318112411,0.9776764028291638,0.21011628054728806,55540,15.427777777777777
2025-07-27,2.8,-0.4999999999999997,-0.8660254037844388,-0.42500033996955394,-0.9051931898913975,2025,2025-07-27,92.0,15.5,16.5,15.951,39.2,15.8,62.5,2.0,16.8,17.4,1007.8,43.2,357.3,15.8,0.0,98.4,16.8,0.0,3.4,17.4,['rain'],13.9,-0.4999999999999997,-0.8660254037844388,-0.42500033996955394,-0.9051931898913975,2025,74149,18767,-0.7776491329256684,0.6286985176218854,0.9788525148007797,0.20456723654629883,55382,15.383888888888889
2025-07-28,10.8,-0.4999999999999997,-0.8660254037844388,-0.4405187843504952,-0.8977433935342336,2025,2025-07-28,84.7,13.9,15.9,30.382,146.8,14.8,79.17,6.0,16.6,19.8,1006.1,54.0,320.7,14.8,0.0,93.4,16.6,0.0,12.7,19.8,['rain'],16.6,-0.4999999999999997,-0.8660254037844388,-0.4405187843504952,-0.8977433935342336,2025,74066,18847,-0.7814297245438464,0.6239932576553439,0.9800260667666841,0.19886907365858286,55219,15.338611111111112
2025-07-29,19.7,-0.4999999999999997,-0.8660254037844388,-0.455906693508459,-0.8900275764346766,2025,2025-07-29,76.1,11.9,17.7,0.279,169.0,13.8,16.67,8.0,16.3,18.5,1012.3,54.0,332.7,13.8,0.0,79.7,16.3,0.0,14.6,18.5,['rain'],27.5,-0.4999999999999997,-0.8660254037844388,-0.455906693508459,-0.8900275764346766,2025,73982,18927,-0.7852268790098149,0.6192081624789078,0.9811664484915039,0.1931641797916191,55055,15.293055555555556
2025-07-30,43.2,-0.4999999999999997,-0.8660254037844388,-0.47115950767386394,-0.8820480249558535,2025,2025-07-30,68.5,10.0,17.9,0.018,221.8,10.5,4.17,8.0,16.3,20.8,1015.3,39.6,267.5,10.5,0.0,56.5,16.3,0.0,19.1,20.8,['rain'],40.5,-0.4999999999999997,-0.8660254037844388,-0.47115950767386394,-0.8820480249558535,2025,73896,19007,-0.7890840848346904,0.6142852000989435,0.9822736213775548,0.18745274803486886,54889,15.246944444444445
2025-07-31,34.8,-0.4999999999999997,-0.8660254037844388,-0.4862727071086902,-0.8738071036110807,2025,2025-07-31,72.2,12.2,25.6,0.2,219.1,13.8,8.33,10.0,17.8,23.0,1014.8,33.5,232.1,13.8,0.0,55.0,17.8,0.0,18.9,23.0,['rain'],10.0,-0.4999999999999997,-0.8660254037844388,-0.4862727071086902,-0.8738071036110807,2025,73808,19089,-0.7929990430073466,0.6092228802248258,0.9833739698303791,0.181591947674011,54719,15.199722222222222
2024-08-01,17.4,-0.8660254037844385,-0.5000000000000004,-0.5160623910158526,-0.8565509959010037,2024,2024-08-01,66.2,13.3,15.5,0.0,160.5,17.1,0.0,7.0,19.9,23.7,1011.5,39.6,24.6,17.1,0.0,72.9,19.9,0.0,13.9,23.7,['none'],33.8,-0.8660254037844385,-0.5000000000000004,-0.5160623910158526,-0.8565509959010037,2024,73695,19190,-0.7979785566720018,0.6026858411242699,0.984681212097365,0.1743643040948001,54505,15.140277777777778
2024-08-02,18.0,-0.8660254037844385,-0.5000000000000004,-0.5307300481619331,-0.8475409228928312,2024,2024-08-02,81.1,15.2,19.7,0.008,120.7,15.5,4.17,7.0,18.6,23.1,1008.1,27.7,303.5,15.5,0.0,86.5,18.6,0.0,10.6,23.1,['rain'],23.5,-0.8660254037844385,-0.5000000000000004,-0.5307300481619331,-0.8475409228928312,2024,73603,19272,-0.8019928938721881,0.5973335736240791,0.9857034690888535,0.16848937956500257,54331,15.091944444444444
